date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:13:50	236/236	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Oct%202017%2015:43:48%20GMT	http://preview.oklerthemes.com/robots.txt		(from )
21:13:50	8324/8324	---M-Z	200	added ('OK')	text/html	date:Sun,%2001%20Oct%202017%2015:43:48%20GMT	http://preview.oklerthemes.com/?theme=Porto	C:/crmhome/as/preview.oklerthemes.com/index7cd7.html	(from )
21:13:50	6583/6583	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Jun%202017%2016:14:30%20GMT	http://preview.oklerthemes.com/switcher/style.css	C:/crmhome/as/preview.oklerthemes.com/switcher/style.css	(from http://preview.oklerthemes.com/?theme=Porto)
21:13:51	1084/1084	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Oct%202015%2020:11:33%20GMT	http://preview.oklerthemes.com/switcher/images/logo.png	C:/crmhome/as/preview.oklerthemes.com/switcher/images/logo.png	(from http://preview.oklerthemes.com/?theme=Porto)
21:14:00	92629/92629	---M--	200	added ('OK')	application/javascript	date:Wed,%2007%20Oct%202015%2020:11:37%20GMT	http://preview.oklerthemes.com/switcher/js/jquery-1.9.1.min.js	C:/crmhome/as/preview.oklerthemes.com/switcher/js/jquery-1.9.1.min.js	(from http://preview.oklerthemes.com/?theme=Porto)
21:14:19	172667/172667	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Oct%202015%2020:11:54%20GMT	http://preview.oklerthemes.com/switcher/themes/porto-admin.png	C:/crmhome/as/preview.oklerthemes.com/switcher/themes/porto-admin.png	(from http://preview.oklerthemes.com/?theme=Porto)
21:14:21	188476/188476	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Oct%202015%2020:11:55%20GMT	http://preview.oklerthemes.com/switcher/themes/porto.png	C:/crmhome/as/preview.oklerthemes.com/switcher/themes/porto.png	(from http://preview.oklerthemes.com/?theme=Porto)
21:14:29	226148/226148	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Dec%202016%2013:00:22%20GMT	http://preview.oklerthemes.com/switcher/themes/porto-wordpress.png	C:/crmhome/as/preview.oklerthemes.com/switcher/themes/porto-wordpress.png	(from http://preview.oklerthemes.com/?theme=Porto)
21:14:30	310/310	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Oct%202017%2015:44:27%20GMT	http://preview.oklerthemes.com/switcher/themes/porto-joomla.png	C:/crmhome/as/preview.oklerthemes.com/switcher/themes/porto-joomla.9.delayed	(from http://preview.oklerthemes.com/?theme=Porto)
21:14:36	220746/220746	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Dec%202016%2013:00:19%20GMT	http://preview.oklerthemes.com/switcher/themes/porto-magento.png	C:/crmhome/as/preview.oklerthemes.com/switcher/themes/porto-magento.png	(from http://preview.oklerthemes.com/?theme=Porto)
