date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:30:09	47465/47465	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202017%2005:54:44%20GMT	http://www.themezaa.com/html/leadgen/demo/product/index.html	C:/crmhome/dyanmic/www.themezaa.com/html/leadgen/demo/product/index.html	(from )
22:30:12	12852/12852	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Oct%202017%2017:00:07%20GMT	http://www.themezaa.com/robots.txt		(from )
22:30:13	1942/1942	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Oct%202016%2011:37:02%20GMT	http://www.themezaa.com/html/leadgen/demo/product/images/icon/favicon.png	C:/crmhome/dyanmic/www.themezaa.com/html/leadgen/demo/product/images/icon/favicon.png	(from http://www.themezaa.com/html/leadgen/demo/product/index.html)
22:30:13	71089/71089	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2005:55:04%20GMT	http://www.themezaa.com/html/leadgen/demo/product/css/animate.css	C:/crmhome/dyanmic/www.themezaa.com/html/leadgen/demo/product/css/animate.css	(from http://www.themezaa.com/html/leadgen/demo/product/index.html)
22:30:14	117205/117205	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2005:55:01%20GMT	http://www.themezaa.com/html/leadgen/demo/product/css/bootstrap.min.css	C:/crmhome/dyanmic/www.themezaa.com/html/leadgen/demo/product/css/bootstrap.min.css	(from http://www.themezaa.com/html/leadgen/demo/product/index.html)
22:30:15	30999/30999	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2005:55:02%20GMT	http://www.themezaa.com/html/leadgen/demo/product/css/font-awesome.min.css	C:/crmhome/dyanmic/www.themezaa.com/html/leadgen/demo/product/css/font-awesome.min.css	(from http://www.themezaa.com/html/leadgen/demo/product/index.html)
22:30:16	16450/16450	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2005:54:59%20GMT	http://www.themezaa.com/html/leadgen/demo/product/css/themify-icons.css	C:/crmhome/dyanmic/www.themezaa.com/html/leadgen/demo/product/css/themify-icons.css	(from http://www.themezaa.com/html/leadgen/demo/product/index.html)
22:30:16	4465/4465	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2005:55:03%20GMT	http://www.themezaa.com/html/leadgen/demo/product/css/owl.transitions.css	C:/crmhome/dyanmic/www.themezaa.com/html/leadgen/demo/product/css/owl.transitions.css	(from http://www.themezaa.com/html/leadgen/demo/product/index.html)
22:30:16	1853/1853	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2005:55:08%20GMT	http://www.themezaa.com/html/leadgen/demo/product/css/owl.carousel.css	C:/crmhome/dyanmic/www.themezaa.com/html/leadgen/demo/product/css/owl.carousel.css	(from http://www.themezaa.com/html/leadgen/demo/product/index.html)
22:30:17	14184/14184	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2005:55:06%20GMT	http://www.themezaa.com/html/leadgen/demo/product/css/magnific-popup.css	C:/crmhome/dyanmic/www.themezaa.com/html/leadgen/demo/product/css/magnific-popup.css	(from http://www.themezaa.com/html/leadgen/demo/product/index.html)
22:30:17	67767/67767	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2005:55:07%20GMT	http://www.themezaa.com/html/leadgen/demo/product/css/base.css	C:/crmhome/dyanmic/www.themezaa.com/html/leadgen/demo/product/css/base.css	(from http://www.themezaa.com/html/leadgen/demo/product/index.html)
22:30:18	34401/34401	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2005:55:05%20GMT	http://www.themezaa.com/html/leadgen/demo/product/css/elements.css	C:/crmhome/dyanmic/www.themezaa.com/html/leadgen/demo/product/css/elements.css	(from http://www.themezaa.com/html/leadgen/demo/product/index.html)
22:30:19	128924/128924	---M-Z	200	added ('OK')	text/css	date:Sat,%2011%20Mar%202017%2005:55:10%20GMT	http://www.themezaa.com/html/leadgen/demo/product/css/responsive.css	C:/crmhome/dyanmic/www.themezaa.com/html/leadgen/demo/product/css/responsive.css	(from http://www.themezaa.com/html/leadgen/demo/product/index.html)
